Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Office for Lease - 9/16/2016,5,3,The Jewel Building,7447 W. Emerald St.,Suite 120,Boise,Idaho,83704     ,12000 SF,1896 SF,Office for Lease - 9/16/2016,Retail (Other),$1.42 /SF/Mo,$17 /SF/Yr,,NNN,19648886,Debbie Martin SIOR,DK Commercial,debbie@dkcommercial.com,(208) 955-1014,Shell space. Landlord will build out your space to your customized needs.,http://www.loopnet.com/lid/19648886,
Office for Lease - 9/16/2016,5,4,The Jewel Building,7447 W. Emerald St.,Suite 130,Boise,Idaho,83704     ,12000 SF,1771 SF,Office for Lease - 9/16/2016,Retail (Other),$1.42 /SF/Mo,$17 /SF/Yr,,NNN,19648886,Debbie Martin SIOR,DK Commercial,debbie@dkcommercial.com,(208) 955-1014,Shell space. Landlord will build out your space to your customized needs.,http://www.loopnet.com/lid/19648886,
Office for Lease - 9/16/2016,5,5,The Jewel Building,7447 W. Emerald St.,Suite 140,Boise,Idaho,83704     ,12000 SF,1884 SF,Office for Lease - 9/16/2016,Retail (Other),$1.42 /SF/Mo,$17 /SF/Yr,,NNN,19648886,Debbie Martin SIOR,DK Commercial,debbie@dkcommercial.com,(208) 955-1014,Shell space. Landlord will build out your space to your customized needs.,http://www.loopnet.com/lid/19648886,
Office for Lease - 9/16/2016,1,1,Liberty Plaza,6128 W Fairview Ave,1B,Boise,Idaho,83704     ,,956 SF,Office for Lease - 9/16/2016,Strip Center,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,19612890,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202,Wide open 956 Sq. Ft. first floor space with private glass entry. Great for retail sales or open office layout,http://www.loopnet.com/lid/19612890,
Office for Lease - 9/16/2016,1,1,Northview Professional Center,8324 West Northview,102,Boise,Idaho,83704     ,4200 SF,707 SF,Office for Lease - 9/16/2016,Office Building,Negotiable,Negotiable,,Full Service,19540812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19540812,
Office for Lease - 9/16/2016,4,1,Emerald Square,4355   Emerald Street,270,Boise,Idaho,83706     ,40280 SF,2236 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,18269837,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18269837,
Office for Lease - 9/16/2016,4,2,Emerald Square,4355   Emerald Street,180,Boise,Idaho,83706     ,40280 SF,850 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,18269837,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18269837,
Office for Lease - 9/16/2016,4,3,Emerald Square,4355   Emerald Street,280,Boise,Idaho,83706     ,40280 SF,1897 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,18269837,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18269837,
Office for Lease - 9/16/2016,4,4,Emerald Square,4355   Emerald Street,185,Boise,Idaho,83706     ,40280 SF,1995 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Full Service,18269837,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18269837,
Office for Lease - 9/16/2016,1,1,1216 N. Orchard,1216 N Orchard St,Space 1,Boise,Idaho,83706     ,123560 SF,1100 SF,Office for Lease - 9/16/2016,Street Retail,$1.25 /SF/Mo,$15 /SF/Yr,,Modified Gross,19522997,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332, ,http://www.loopnet.com/lid/19522997,
Office for Lease - 9/16/2016,1,1,The Waterfront,3050 N. Lake Harbor Lane Su. 120,Space 1,Boise,Idaho,83703     ,79500 SF,15000 SF,Office for Lease - 9/16/2016,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,, ,19414389,Jeffrey Lowden,SkyWest Real Estate Services,jeff@skywestservices.com,(775) 827-6700, ,http://www.loopnet.com/lid/19414389,
Office for Lease - 9/16/2016,6,1,Fairview/Milwaukee Plaza,1405-1587 N. Milwaukee Street,1455,Boise,Idaho,83704     ,68997 SF,1440 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,17353480,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/17353480,
Office for Lease - 9/16/2016,6,2,Fairview/Milwaukee Plaza,1405-1587 N. Milwaukee Street,1415,Boise,Idaho,83704     ,68997 SF,2448 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,17353480,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/17353480,
Office for Lease - 9/16/2016,6,3,Fairview/Milwaukee Plaza,1405-1587 N. Milwaukee Street,1451,Boise,Idaho,83704     ,68997 SF,1696 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,17353480,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/17353480,
Office for Lease - 9/16/2016,6,4,Fairview/Milwaukee Plaza,1405-1587 N. Milwaukee Street,1533,Boise,Idaho,83704     ,68997 SF,1440 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,17353480,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/17353480,
Office for Lease - 9/16/2016,6,5,Fairview/Milwaukee Plaza,1405-1587 N. Milwaukee Street,1401,Boise,Idaho,83704     ,68997 SF,5600 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,17353480,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/17353480,
Office for Lease - 9/16/2016,6,6,Fairview/Milwaukee Plaza,1405-1587 N. Milwaukee Street,1507,Boise,Idaho,83704     ,68997 SF,2899 SF,Office for Lease - 9/16/2016,Retail (Other),$1.25 /SF/Mo,$15 /SF/Yr,,NNN,17353480,Mark Schlag,Thornton Oliver Keller,marks@tokcommercial.com,(208) 947-0817, ,http://www.loopnet.com/lid/17353480,
Office for Lease - 9/16/2016,6,1,BANNER BANK BUILDING,950 WEST BANNOCK STREET,6TH FLOOR,Boise,Idaho,83702     ,180000 SF,1819 SF,Office for Lease - 9/16/2016,Office Building,$1.96 /SF/Mo,$23.50 /SF/Yr,,Full Service,17641132,Bill Beck,TENANT REALTY ADVISORS,beck@tenrealad.com,(208) 333-7050,OFFICE SPACE,http://www.loopnet.com/lid/17641132,
Office for Lease - 9/16/2016,6,2,BANNER BANK BUILDING,950 WEST BANNOCK STREET,2nd floor,Boise,Idaho,83702     ,180000 SF,17020 SF,Office for Lease - 9/16/2016,Office Building,$1.82 /SF/Mo,$21.85 /SF/Yr,,Full Service,17641132,Bill Beck,TENANT REALTY ADVISORS,beck@tenrealad.com,(208) 333-7050, ,http://www.loopnet.com/lid/17641132,
Office for Lease - 9/16/2016,6,3,BANNER BANK BUILDING,950 WEST BANNOCK STREET,3rd floor,Boise,Idaho,83702     ,180000 SF,2042 SF,Office for Lease - 9/16/2016,Office Building,$1.79 /SF/Mo,$21.50 /SF/Yr,, ,17641132,Bill Beck,TENANT REALTY ADVISORS,beck@tenrealad.com,(208) 333-7050, ,http://www.loopnet.com/lid/17641132,
Office for Lease - 9/16/2016,6,4,BANNER BANK BUILDING,950 WEST BANNOCK STREET,4th floor,Boise,Idaho,83702     ,180000 SF,8158 SF,Office for Lease - 9/16/2016,Office Building,$1.96 /SF/Mo,$23.50 /SF/Yr,, ,17641132,Bill Beck,TENANT REALTY ADVISORS,beck@tenrealad.com,(208) 333-7050, ,http://www.loopnet.com/lid/17641132,
Office for Lease - 9/16/2016,6,5,BANNER BANK BUILDING,950 WEST BANNOCK STREET,8th floor,Boise,Idaho,83702     ,180000 SF,2331 SF,Office for Lease - 9/16/2016,Office Building,$1.96 /SF/Mo,$23.50 /SF/Yr,, ,17641132,Bill Beck,TENANT REALTY ADVISORS,beck@tenrealad.com,(208) 333-7050, ,http://www.loopnet.com/lid/17641132,
Office for Lease - 9/16/2016,6,6,BANNER BANK BUILDING,950 WEST BANNOCK STREET,10th floor,Boise,Idaho,83702     ,180000 SF,4644 SF,Office for Lease - 9/16/2016,Office Building,$2 /SF/Mo,$24 /SF/Yr,, ,17641132,Bill Beck,TENANT REALTY ADVISORS,beck@tenrealad.com,(208) 333-7050, ,http://www.loopnet.com/lid/17641132,
Office for Lease - 9/16/2016,3,1,Fulton Annex,518-520 S. 9th Street,300,Boise,Idaho,83702     ,10346 SF,2843 SF,Office for Lease - 9/16/2016,Office Building,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,16903687,Mike Greene,Thornton Oliver Keller,mikeg@tokcommercial.com,(208) 947-0835, ,http://www.loopnet.com/lid/16903687,
Office for Lease - 9/16/2016,3,2,Fulton Annex,518-520 S. 9th Street,Loft,Boise,Idaho,83702     ,10346 SF,1426 SF,Office for Lease - 9/16/2016,Office Building,$1.67 /SF/Mo,$20 /SF/Yr,,Full Service,16903687,Mike Greene,Thornton Oliver Keller,mikeg@tokcommercial.com,(208) 947-0835, ,http://www.loopnet.com/lid/16903687,
Office for Lease - 9/16/2016,3,3,Fulton Annex,518-520 S. 9th Street,Basement,Boise,Idaho,83702     ,10346 SF,1858 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,16903687,Mike Greene,Thornton Oliver Keller,mikeg@tokcommercial.com,(208) 947-0835, ,http://www.loopnet.com/lid/16903687,
Office for Lease - 9/16/2016,1,1,,410 S. Orchard #164,Space 1,Boise,Idaho,83705     ,1200 SF,1200 SF,Office for Lease - 9/16/2016,Office Building,$0.67 /SF/Mo,$8 /SF/Yr,,Full Service,19249299,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202,Full Service Excluding Janitorial,http://www.loopnet.com/lid/19249299,
Office for Lease - 9/16/2016,3,1,North Cole Road Office Space,2132 N Cole Rd,2137,Boise,Idaho,83704     ,7710 SF,2021 SF,Office for Lease - 9/16/2016,Medical Office,$0.50 /SF/Mo,$6 /SF/Yr,,Modified Gross,16897975,David Bohecker,Mark Bottles Real Estate Services LLC,dbohecker@markbottles.com,(208) 947-1081, ,http://www.loopnet.com/lid/16897975,
Office for Lease - 9/16/2016,3,2,North Cole Road Office Space,2132 N Cole Rd,2146,Boise,Idaho,83704     ,7710 SF,1411 SF,Office for Lease - 9/16/2016,Medical Office,$0.50 /SF/Mo,$6 /SF/Yr,,Modified Gross,16897975,David Bohecker,Mark Bottles Real Estate Services LLC,dbohecker@markbottles.com,(208) 947-1081, ,http://www.loopnet.com/lid/16897975,
Office for Lease - 9/16/2016,3,3,North Cole Road Office Space,2132 N Cole Rd,2142,Boise,Idaho,83704     ,7710 SF,805 SF,Office for Lease - 9/16/2016,Medical Office,$0.58 /SF/Mo,$7 /SF/Yr,,Modified Gross,16897975,David Bohecker,Mark Bottles Real Estate Services LLC,dbohecker@markbottles.com,(208) 947-1081, ,http://www.loopnet.com/lid/16897975,
Office for Lease - 9/16/2016,3,1,One Capital Center,999 Main Street,Suite 100,Boise,Idaho,83702     ,2535870 SF,5862 SF,Office for Lease - 9/16/2016,Street Retail,Negotiable,Negotiable,,NNN,18717122,David Cadwell,Colliers International,david.cadwell@colliers.com,(208) 345-9000 Ext: 705,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18717122,
Office for Lease - 9/16/2016,3,2,One Capital Center,999 Main Street,100B,Boise,Idaho,83702     ,2535870 SF,1768 SF,Office for Lease - 9/16/2016,Street Retail,Negotiable,Negotiable,,NNN,18717122,David Cadwell,Colliers International,david.cadwell@colliers.com,(208) 345-9000 Ext: 705,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18717122,
Office for Lease - 9/16/2016,3,3,One Capital Center,999 Main Street,101,Boise,Idaho,83702     ,2535870 SF,3707 SF,Office for Lease - 9/16/2016,Street Retail,Negotiable,Negotiable,,NNN,18717122,David Cadwell,Colliers International,david.cadwell@colliers.com,(208) 345-9000 Ext: 705, ,http://www.loopnet.com/lid/18717122,
Office for Lease - 9/16/2016,2,1,Clearwater Building,777 West Main Street,Suite B2,Boise,Idaho,83702     ,22000 SF,4836 SF,Office for Lease - 9/16/2016,Restaurant,$2.17 /SF/Mo,$26 /SF/Yr,,NNN,18672286,Mark Cleverley,Gardner Company,danielle@gardnercompany.net,(208) 246-8909, ,http://www.loopnet.com/lid/18672286,
Office for Lease - 9/16/2016,2,2,Clearwater Building,777 West Main Street,Suite D,Boise,Idaho,83702     ,22000 SF,1929 SF,Office for Lease - 9/16/2016,Restaurant,$2.17 /SF/Mo,$26 /SF/Yr,,NNN,18672286,Mark Cleverley,Gardner Company,danielle@gardnercompany.net,(208) 246-8909, ,http://www.loopnet.com/lid/18672286,
Office for Lease - 9/16/2016,2,1,,3506 W. State St. #104,104,Boise,Idaho,83703     ,,832 SF,Office for Lease - 9/16/2016,Strip Center,$0.94 /SF/Mo,$11.28 /SF/Yr,,Modified Net,16955635,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Can be combined with space next door (1349 sq. ft.) for a total of 2179 sq. ft.,http://www.loopnet.com/lid/16955635,
Office for Lease - 9/16/2016,2,2,,3506 W. State St. #104,FIELD UNAVAILABLE,Boise,Idaho,83703     ,,2179 SF,Office for Lease - 9/16/2016,Strip Center,Negotiable,Negotiable,,Modified Net,16955635,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771, ,http://www.loopnet.com/lid/16955635,
Office for Lease - 9/16/2016,1,1,9th & Idaho,213 N. 9th Street,Space 1,Boise,Idaho,83702     ,92160 SF,1720 SF,Office for Lease - 9/16/2016,Street Retail,$1.67 /SF/Mo,$20 /SF/Yr,,NNN,18999560,Mike Christensen,Colliers International,mike.christensen@colliers.com,(208) 472-2866, ,http://www.loopnet.com/lid/18999560,
Office for Lease - 9/16/2016,1,1,Capitol Gateway II,1211 W. Myrtle Street,300,Boise,Idaho,83702     ,31321 SF,4831 SF,Office for Lease - 9/16/2016,Office Building,Negotiable,Negotiable,,Full Service,18182768,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/18182768,
Office for Lease - 9/16/2016,1,1,The Marketplace,1700 W. State Street,1700,Boise,Idaho,83702     ,,1500 SF,Office for Lease - 9/16/2016,Community Center,$2.33 /SF/Mo,$28 /SF/Yr,,NNN,18638100,Mike Christensen,Colliers International,mike.christensen@colliers.com,(208) 472-2866,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18638100,
Office for Lease - 9/16/2016,1,1,30th & Main Street,3003 W. Main Street,110,Boise,Idaho,83702     ,20043 SF,1809 SF,Office for Lease - 9/16/2016,Office Building,Negotiable,Negotiable,,Full Service,18605504,Al Marino,Thornton Oliver Keller,al@tokcommercial.com,(208) 947-0811, ,http://www.loopnet.com/lid/18605504,
Office for Lease - 9/16/2016,1,1,Banner Bank Building,950 W Bannock St,1100,Boise,Idaho,83702     ,181180 SF,5000 SF,Office for Lease - 9/16/2016,Office Building,Negotiable,Negotiable,,Full Service,15235866,Eric Fletcher,Regus,eric.fletcher@regus.com,(844) 868-5893,FIELD UNAVAILABLE,http://www.loopnet.com/lid/15235866,
Office for Lease - 9/16/2016,2,1,Towne Square Station,FIELD UNAVAILABLE,Bldg A - 100,Boise,Idaho,83704     ,,2957 SF,Office for Lease - 9/16/2016,Strip Center,Negotiable,Negotiable,,NNN,18404515,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332, ,http://www.loopnet.com/lid/18404515,
Office for Lease - 9/16/2016,2,2,Towne Square Station,FIELD UNAVAILABLE,Bldg B - 190,Boise,Idaho,83704     ,,1875 SF,Office for Lease - 9/16/2016,Strip Center,Negotiable,Negotiable,,NNN,18404515,Darin Burrell,Intermountain Commercial Real Estate,darin@icrellc.com,(208) 860-0332, ,http://www.loopnet.com/lid/18404515,
Office for Lease - 9/16/2016,1,1,Office/Retail Opportunity,10 N Liberty,Suite 100,Boise,Idaho,83713     ,11377 SF,1860 SF,Office for Lease - 9/16/2016,Flex Space,$0.92 /SF/Mo,$11 /SF/Yr,,NNN,18332077,Henry Miller,FIELD UNAVAILABLE,henrym@leeidaho.com,(208) 343-2300, ,http://www.loopnet.com/lid/18332077,
Office for Lease - 9/16/2016,1,1,Shopko Plaza,8013 W Fairview,8069,Boise,Idaho,83704     ,,1780 SF,Office for Lease - 9/16/2016,Strip Center,$1.17 /SF/Mo,$14 /SF/Yr,,NNN,18111518,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/18111518,
Office for Lease - 9/16/2016,3,1,Bldg 1 & 2 Ustick Court Office Space For Lease,FIELD UNAVAILABLE,8382 Suite 200,Boise,Idaho,83704     ,9600 SF,1600 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Modified Gross,17704787,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568, ,http://www.loopnet.com/lid/17704787,
Office for Lease - 9/16/2016,3,2,Bldg 1 & 2 Ustick Court Office Space For Lease,FIELD UNAVAILABLE,8382 Suite 300,Boise,Idaho,83704     ,9600 SF,1600 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Modified Gross,17704787,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568, ,http://www.loopnet.com/lid/17704787,
Office for Lease - 9/16/2016,3,3,Bldg 1 & 2 Ustick Court Office Space For Lease,FIELD UNAVAILABLE,8310 Suite 300,Boise,Idaho,83704     ,9600 SF,2400 SF,Office for Lease - 9/16/2016,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,Modified Gross,17704787,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568, ,http://www.loopnet.com/lid/17704787,
Office for Lease - 9/16/2016,1,1,,208 W. 37th Street,106,Garden City,Idaho,83714     ,13800 SF,1750 SF,Office for Lease - 9/16/2016,Flex Space,$0.53 /SF/Mo,$6.34 /SF/Yr,,NNN,17928831,Tim Graver,Prime Commercial Real Estate,tim@primeidaho.com,(208) 322-4900,FIELD UNAVAILABLE,http://www.loopnet.com/lid/17928831,
Office for Lease - 9/16/2016,1,1,Lease Rate Reduced! Retail / Sales Office Space,5010 West Emerald Street,Space 1,Boise,Idaho,83706     ,,2824 SF,Office for Lease - 9/16/2016,Strip Center,$1.21 /SF/Mo,$14.50 /SF/Yr,,NNN,17872414,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904,Lease Rate Reduced!!! Single User or Multi Tenant | Spaces Can Be Combined |  T.I. Allowance Negotiable 1328 - 2824 SF | $16.50 / SF NNN | NNN $4.75 / SF Annually,http://www.loopnet.com/lid/17872414,
Office for Lease - 9/16/2016,4,1,Orchard Street Plaza,355 N Orchard,101,Boise,Idaho,83706     ,14844 SF,1915 SF,Office for Lease - 9/16/2016,Office Building,$0.92 /SF/Mo,$11 /SF/Yr,,Full Service,17774449,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/17774449,
Office for Lease - 9/16/2016,4,2,Orchard Street Plaza,355 N Orchard,107,Boise,Idaho,83706     ,14844 SF,2217 SF,Office for Lease - 9/16/2016,Office Building,$0.92 /SF/Mo,$11 /SF/Yr,,Full Service,17774449,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/17774449,
Office for Lease - 9/16/2016,4,3,Orchard Street Plaza,355 N Orchard,200,Boise,Idaho,83706     ,14844 SF,668 SF,Office for Lease - 9/16/2016,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,17774449,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/17774449,
Office for Lease - 9/16/2016,4,4,Orchard Street Plaza,355 N Orchard,208-209,Boise,Idaho,83706     ,14844 SF,690 SF,Office for Lease - 9/16/2016,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,17774449,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/17774449,
Office for Lease - 9/16/2016,1,1,Owner User Opportunity For Sale and Lease,4491 N Dresden Place,Suite A,Garden City,Idaho,83714     ,3640 SF,1707 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,17460549,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904,Suite A Availability - 30 Day Notice Required,http://www.loopnet.com/lid/17460549,
Office for Lease - 9/16/2016,2,1,1010 Orchard,1010 N Orchard,1,Boise,Idaho,83706     ,8880 SF,1113 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Full Service,15932885,Hoyt Michener,Michener Investments LLP,hoyt@michenerinvestments.com,(208) 336-3202,6-month Lease term or longer,http://www.loopnet.com/lid/15932885,
Office for Lease - 9/16/2016,2,2,1010 Orchard,1010 N Orchard,11,Boise,Idaho,83706     ,8880 SF,626 SF,Office for Lease - 9/16/2016,Office Building,$0.66 /SF/Mo,$7.96 /SF/Yr,,Full Service,15932885,Hoyt Michener,Michener Investments LLP,hoyt@michenerinvestments.com,(208) 336-3202, ,http://www.loopnet.com/lid/15932885,
Office for Lease - 9/16/2016,3,1,Stonegate Office Complex,2995 North Cole Road,200A,Boise,Idaho,83704     ,23838 SF,516 SF,Office for Lease - 9/16/2016,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,4259992,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Nice smaller upstairs suite w. windows to foothills.  Reception work area and storage room.  Quiet hallway.    FSTJ,http://www.loopnet.com/lid/4259992,
Office for Lease - 9/16/2016,3,2,Stonegate Office Complex,2995 North Cole Road,200C,Boise,Idaho,83704     ,23838 SF,587 SF,Office for Lease - 9/16/2016,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,4259992,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Located upstairs with open work area/reception and one private office.  Call of details.  Full Service; excluding tenant janitorial.,http://www.loopnet.com/lid/4259992,
Office for Lease - 9/16/2016,3,3,Stonegate Office Complex,2995 North Cole Road,225,Boise,Idaho,83704     ,23838 SF,1736 SF,Office for Lease - 9/16/2016,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,4259992,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,Great location upstairs with window exposure from the foyer.  Open work area 6 private offices reception sink with counter.,http://www.loopnet.com/lid/4259992,
Office for Lease - 9/16/2016,1,1,Midtown Business Park,200 E 37th Street Space #2,Space 1,Garden City,Idaho,83714     ,1440 SF,1440 SF,Office for Lease - 9/16/2016,Flex Space,$0.75 /SF/Mo,$9 /SF/Yr,,Modified Gross,20347356,Jarron Langston,COMPANY NAME NOT PRESENT,jarronlangston@gmail.com,(208) 724-6239, ,http://www.loopnet.com/lid/20347356,
Office for Lease - 9/16/2016,4,1,Westgate Plaza,1755 N. Westgate Drive,280,Boise,Idaho,83704     ,43374 SF,1020 SF,Office for Lease - 9/16/2016,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
Office for Lease - 9/16/2016,4,2,Westgate Plaza,1755 N. Westgate Drive,105,Boise,Idaho,83704     ,43374 SF,9849 SF,Office for Lease - 9/16/2016,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
Office for Lease - 9/16/2016,4,3,Westgate Plaza,1755 N. Westgate Drive,225,Boise,Idaho,83704     ,43374 SF,791 SF,Office for Lease - 9/16/2016,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
Office for Lease - 9/16/2016,4,4,Westgate Plaza,1755 N. Westgate Drive,220,Boise,Idaho,83704     ,43374 SF,1434 SF,Office for Lease - 9/16/2016,Office Building,$1.06 /SF/Mo,$12.75 /SF/Yr,,Full Service,18335465,Karena Gilbert,Thornton Oliver Keller,karena@tokcommercial.com,(208) 947-0853, ,http://www.loopnet.com/lid/18335465,
Office for Lease - 9/16/2016,3,1,Flex Work Space - Building 4,6023 W. Clinton Street,6025,Boise,Idaho,83704     ,9076 SF,1008 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,19577742,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/19577742,
Office for Lease - 9/16/2016,3,2,Flex Work Space - Building 4,6023 W. Clinton Street,6027,Boise,Idaho,83704     ,9076 SF,1008 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,19577742,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/19577742,
Office for Lease - 9/16/2016,3,3,Flex Work Space - Building 4,6023 W. Clinton Street,6023,Boise,Idaho,83704     ,9076 SF,2716 SF,Office for Lease - 9/16/2016,Office Building,$0.71 /SF/Mo,$8.50 /SF/Yr,,Modified Gross,19577742,Nick Schuitemaker,Thornton Oliver Keller,nick@tokcommercial.com,(208) 947-0802, ,http://www.loopnet.com/lid/19577742,
Office for Lease - 9/16/2016,1,1,IADA Building,4980 W. State Street,B,Boise,Idaho,83703     ,1930 SF,766 SF,Office for Lease - 9/16/2016,Office Building,$1.23 /SF/Mo,$14.75 /SF/Yr,,Full Service,19610099,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/19610099,
Office for Lease - 9/16/2016,4,1,McCarty Building,202 9th Street,202,Boise,Idaho,83702     ,30591 SF,279 SF,Office for Lease - 9/16/2016,Office Building,$1.61 /SF/Mo,$19.35 /SF/Yr,,Full Service,19713399,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Single office available.  Large window high ceilings new carpet and paint.  Flexible term 1-60 mos.,http://www.loopnet.com/lid/19713399,
